Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
379,tt30144839,2025-03-30,2025-03-30,,"One Battle After Another","One Battle After Another",https://www.imdb.com/title/tt30144839/,Movie,8.5,161,2025,"Action, Crime, Drama, Thriller",14252,2025-09-26,"Paul Thomas Anderson",,
380,tt28082769,2025-03-30,2025-03-30,,"September 5","September 5",https://www.imdb.com/title/tt28082769/,Movie,7.1,95,2024,"Drama, History, Thriller",30840,2025-02-25,"Tim Fehlbaum",,
381,tt0117333,2025-06-18,2025-06-18,,"Phenomenon","Phenomenon",https://www.imdb.com/title/tt0117333/,Movie,6.5,123,1996,"Drama, Fantasy, Romance, Sci-Fi",87650,1996-07-03,"Jon Turteltaub",,
382,tt2397535,2025-06-19,2025-06-19,,"Predestination","Predestination",https://www.imdb.com/title/tt2397535/,Movie,7.4,97,2014,"Action, Drama, Sci-Fi, Thriller",327079,2015-01-09,"Michael Spierig, Peter Spierig",,
383,tt16311594,2025-07-05,2025-07-05,,"F1: The Movie","F1",https://www.imdb.com/title/tt16311594/,Movie,7.8,155,2025,"Action, Drama, Sport",214356,2025-06-27,"Joseph Kosinski",9,2025-08-31
384,tt14452776,2025-07-05,2025-07-05,,"The Bear","The Bear",https://www.imdb.com/title/tt14452776/,TV Series,8.5,30,2022,"Comedy, Drama",291662,2022-06-23,,,
385,tt32768323,2025-07-05,2025-07-05,,"The Assessment","The Assessment",https://www.imdb.com/title/tt32768323/,Movie,6.6,114,2024,"Drama, Sci-Fi",18031,2025-04-08,"Fleur Fortune",,
386,tt12042730,2025-07-06,2025-07-06,,"Project Hail Mary","Project Hail Mary",https://www.imdb.com/title/tt12042730/,Movie,,,2026,"Sci-Fi",0,2026-03-20,"Phil Lord, Christopher Miller",,
387,tt14107334,2025-07-06,2025-07-06,,"The Running Man","The Running Man",https://www.imdb.com/title/tt14107334/,Movie,,,2025,"Action, Adventure, Sci-Fi, Thriller",0,2025-11-14,"Edgar Wright",,
388,tt31710249,2025-07-06,2025-07-06,,"Stick","Stick",https://www.imdb.com/title/tt31710249/,TV Series,7.2,,2025,"Comedy, Sport",15383,2025-06-04,,,
389,tt9603208,2025-07-06,2025-07-06,,"Mission: Impossible - The Final Reckoning","Mission: Impossible - The Final Reckoning",https://www.imdb.com/title/tt9603208/,Movie,7.2,169,2025,"Action, Adventure, Thriller",164481,2025-05-23,"Christopher McQuarrie",,
390,tt7181546,2025-07-12,2025-07-12,,"Ballerina","Ballerina",https://www.imdb.com/title/tt7181546/,Movie,6.9,124,2025,"Action, Thriller",103470,2025-06-06,"Len Wiseman",,
391,tt31193180,2025-07-12,2025-07-12,,"Sinners","Sinners",https://www.imdb.com/title/tt31193180/,Movie,7.6,137,2025,"Action, Drama, Horror, Music, Thriller",281632,2025-04-18,"Ryan Coogler",,
392,tt7556122,2025-07-12,2025-07-12,,"The Old Guard","The Old Guard",https://www.imdb.com/title/tt7556122/,Movie,6.7,125,2020,"Action, Thriller",206031,2020-07-10,"Gina Prince-Bythewood",,
393,tt11291274,2025-07-13,2025-07-13,,"The Unbearable Weight of Massive Talent","The Unbearable Weight of Massive Talent",https://www.imdb.com/title/tt11291274/,Movie,7.0,107,2022,"Action, Comedy, Crime, Thriller",173741,2022-04-22,"Tom Gormican",,
394,tt31227572,2025-07-27,2025-07-27,,"Predator: Badlands","Predator: Badlands",https://www.imdb.com/title/tt31227572/,Movie,,,2025,"Action, Adventure, Sci-Fi, Thriller",0,2025-11-07,"Dan Trachtenberg",,
395,tt6146586,2025-07-27,2025-07-27,,"John Wick: Chapter 3 - Parabellum","John Wick: Chapter 3 - Parabellum",https://www.imdb.com/title/tt6146586/,Movie,7.4,130,2019,"Action, Crime, Drama, Thriller",465463,2019-05-17,"Chad Stahelski",,
396,tt10676052,2025-08-02,2025-08-02,,"The Fantastic Four: First Steps","The Fantastic Four: First Steps",https://www.imdb.com/title/tt10676052/,Movie,7.2,114,2025,"Action, Adventure, Sci-Fi",147573,2025-07-25,"Matt Shakman",,
397,tt2580382,2025-08-09,2025-08-09,,"The Survivalist","The Survivalist",https://www.imdb.com/title/tt2580382/,Movie,6.4,104,2015,"Drama, Sci-Fi, Thriller",19769,2016-02-12,"Stephen Fingleton",,
398,tt1598642,2025-08-09,2025-08-09,,"Z for Zachariah","Z for Zachariah",https://www.imdb.com/title/tt1598642/,Movie,6.0,98,2015,"Drama, Romance, Sci-Fi, Thriller",34069,2015-08-13,"Craig Zobel",,
399,tt28996126,2025-08-17,2025-08-17,,"Nobody 2","Nobody 2",https://www.imdb.com/title/tt28996126/,Movie,6.3,89,2025,"Action, Comedy, Crime, Thriller",37976,2025-08-15,"Timo Tjahjanto",,
400,tt30253473,2025-08-17,2025-08-17,,"Materialists","Materialists",https://www.imdb.com/title/tt30253473/,Movie,6.3,116,2025,"Comedy, Romance",56337,2025-06-13,"Celine Song",,
401,tt23149780,2025-08-17,2025-08-17,,"Eden","Eden",https://www.imdb.com/title/tt23149780/,Movie,6.4,129,2024,"History, Thriller",16376,2025-08-22,"Ron Howard",,
402,tt12908150,2025-08-17,2025-08-17,,"The Life of Chuck","The Life of Chuck",https://www.imdb.com/title/tt12908150/,Movie,7.3,111,2024,"Drama, Fantasy, Sci-Fi",33471,2025-06-13,"Mike Flanagan",,
403,tt31176520,2025-08-17,2025-08-17,,"Eddington","Eddington",https://www.imdb.com/title/tt31176520/,Movie,6.7,148,2025,"Comedy, Drama, Western",28369,2025-07-18,"Ari Aster",,
404,tt1188729,2025-08-24,2025-08-24,,"Pandorum","Pandorum",https://www.imdb.com/title/tt1188729/,Movie,6.7,108,2009,"Action, Horror, Mystery, Sci-Fi, Thriller",165430,2009-09-25,"Christian Alvart",,
405,tt4572514,2025-08-24,2025-08-24,,"Patriots Day","Patriots Day",https://www.imdb.com/title/tt4572514/,Movie,7.3,133,2016,"Action, Crime, Drama, History, Thriller",120015,2017-01-13,"Peter Berg",,
406,tt7130300,2025-08-30,2025-08-30,,"The Woman in Cabin 10","The Woman in Cabin 10",https://www.imdb.com/title/tt7130300/,Movie,,92,2025,"Drama, Mystery, Thriller",0,2025-10-10,"Simon Stone",,
407,tt12300742,2025-09-13,2025-09-13,,"Bugonia","Bugonia",https://www.imdb.com/title/tt12300742/,Movie,6.9,120,2025,"Comedy, Crime, Sci-Fi",827,2025-10-31,"Yorgos Lanthimos",,
408,tt10374610,2025-09-14,2025-09-14,,"The Long Walk","The Long Walk",https://www.imdb.com/title/tt10374610/,Movie,7.3,108,2025,"Thriller",21757,2025-09-12,"Francis Lawrence",,
409,tt0181865,2025-09-15,2025-09-15,,"Traffic","Traffic",https://www.imdb.com/title/tt0181865/,Movie,7.5,147,2000,"Crime, Drama, Thriller",227073,2001-01-05,"Steven Soderbergh",,
410,tt0389557,2025-09-15,2025-09-15,,"Black Book","Zwartboek",https://www.imdb.com/title/tt0389557/,Movie,7.7,145,2006,"Drama, Thriller, War",82848,2007-05-18,"Paul Verhoeven",,
